period,trend,seasonal_7,seasonal_365,resid,respondent
2019-01-01,299.154616581919,-24.448311662709198,-43.8667578065041,-13.073744554403902,DUK
2019-01-02,299.1230429687299,1.3536263491768252,-36.44012230744078,-10.051901869624487,DUK
2019-01-03,299.09140391067456,22.625127071238655,-51.503389033569775,-4.47913516123549,DUK
2019-01-04,299.0596991178562,23.529415406343745,-40.63406608770326,1.6157198675645077,DUK
2019-01-05,299.0279283061736,-10.392930505532227,-3.596659959032184,-9.275865657876352,DUK
2019-01-06,298.99609119203495,-21.070756025970738,-9.966162822081492,-0.4316020375314338,DUK
2019-01-07,298.96418750032944,5.493811847903647,-10.641018521378143,-22.5326637124615,DUK
2019-01-08,298.9322169637776,-17.491979103474225,8.919302035201923,-29.887316794547928,DUK
2019-01-09,298.90017934679383,4.881506072324574,4.486989381381667,-17.27113116076947,DUK
2019-01-10,298.86807445620053,18.64804959615365,15.178110618345514,13.540360763125136,DUK
2019-01-11,298.83590212113415,16.472104481486397,7.151120891744634,13.08821655863494,DUK
2019-01-12,298.80366215625236,-12.015303516937603,2.677657076865585,11.754571663291642,DUK
2019-01-13,298.77135435425134,-19.439409506054606,8.167873614986101,19.166564627569585,DUK
2019-01-14,298.7389784854669,6.147834398877398,13.855529305171984,11.330430289434616,DUK
2019-01-15,298.70653429237535,-10.820738608495246,3.138763635246329,28.0524470009492,DUK
2019-01-16,298.6740214915967,8.203078892328415,0.4185791403375102,19.672316248446634,DUK
2019-01-17,298.6414397603452,14.943876769609497,9.859112126081161,4.697618508417861,DUK
2019-01-18,298.6087887449226,9.606837584496162,2.703098486931255,-3.9869180044442487,DUK
2019-01-19,298.5760680812179,-13.618371432626612,0.8971348409104705,7.103761750396018,DUK
2019-01-20,298.5432774050401,-17.76442113591005,30.203264904316484,-18.741341290589673,DUK
2019-01-21,298.510416349515,6.653321106163158,59.426978287651934,19.574398734272393,DUK
2019-01-22,298.47748455941036,-4.1774397614276335,60.03162672038742,16.898015188075476,DUK
2019-01-23,298.444481658365,11.370030111845875,22.786232262919256,0.35460276364631227,DUK
2019-01-24,298.4114072459692,11.335640672189562,-6.645411424715644,-15.932989778556362,DUK
2019-01-25,298.3782609200432,2.8978008251289364,16.362255147643047,6.276493382711465,DUK
2019-01-26,298.3450422922192,-15.162675238836318,30.362718444685868,-4.670554117634367,DUK
2019-01-27,298.31175097195603,-16.311137812255648,26.4687053210164,-11.95072485758567,DUK
2019-01-28,298.2783865740529,7.155166654239825,22.34786859822878,-15.023474830977136,DUK
2019-01-29,298.24494872982217,2.6557925420207313,41.65707102315423,-24.29857930916876,DUK
2019-01-30,298.21143709456805,14.465810123416986,55.33433832404123,-0.9286228050326599,DUK
2019-01-31,298.1778513519849,7.58187621419282,61.581027393760486,-3.6041573319739655,DUK
2019-02-01,298.1441911933378,-3.510962908811341,40.10451721280076,2.4255465687456876,DUK
2019-02-02,298.1104563127069,-16.570627462834935,11.91504583583847,-2.289058085914121,DUK
2019-02-03,298.07664640277596,-15.113991297247466,-2.2470353232834173,-9.252064833667305,DUK
2019-02-04,298.04276115986187,7.6159393066194285,-14.375626822268911,-17.664917040448472,DUK
2019-02-05,298.008800294333,9.15161702633005,-31.347798021341546,-23.305674656592657,DUK
2019-02-06,297.97476354232714,17.585817640715323,-39.912651493446944,-19.178984854969713,DUK
2019-02-07,297.9406506725879,4.005713806149964,-22.241878565229012,-19.880027404730356,DUK
2019-02-08,297.90646148397985,-8.985033411127496,-7.45983837129866,-42.776279324347456,DUK
2019-02-09,297.8721958109279,-17.730527050253468,0.9702118545277046,-27.900145795439585,DUK
2019-02-10,297.83785354283276,-13.159356790029715,16.248119943471405,-11.635028146493653,DUK
2019-02-11,297.803434611039,7.192829071028585,7.882431163062924,-7.956157153520508,DUK
2019-02-12,297.768938968178,11.845160878045272,2.2805861246190244,-12.343462179597907,DUK
2019-02-13,297.7343665816364,19.00415082533999,-7.310693891882099,-19.795073248754193,DUK
2019-02-14,297.69971743885094,3.6135665500228336,4.301231068941033,-11.870620953130185,DUK
2019-02-15,297.6649915538438,-11.039538359402647,8.567990562964484,-25.572487459689796,DUK
